epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.70612,2.05618,2.63572,2.3395,0.00476,0.96774,0.14783,0.07513,0.82622,3.15697,1.464,2e-05,2e-05,2e-05
2,17.9465,1.86073,2.78199,2.22042,0.00492,1,0.20159,0.10096,0.78505,3.10751,1.42247,5.9406e-05,5.9406e-05,5.9406e-05
3,25.8708,1.8732,2.67071,2.214,0.00492,1,0.25413,0.14116,0.74229,3.08742,1.40222,9.802e-05,9.802e-05,9.802e-05
4,33.7966,2.02837,2.81256,2.44788,0.00492,1,0.32429,0.21127,0.74772,3.08987,1.47514,0.000135842,0.000135842,0.000135842
5,41.5763,1.32245,2.58472,1.84384,0.00492,1,0.47245,0.28264,0.90128,3.15439,1.63121,0.000172872,0.000172872,0.000172872
6,49.5863,1.56973,2.36541,2.01723,0.00492,1,0.52704,0.25527,1.15343,3.19507,1.87414,0.00020911,0.00020911,0.00020911
7,57.4948,1.46646,2.3065,1.96648,0.00492,1,0.62829,0.29972,1.22505,3.15391,1.87555,0.000244556,0.000244556,0.000244556
8,65.2928,1.76834,2.01531,2.02157,0.00492,1,0.84835,0.403,1.20298,3.05903,1.73321,0.00027921,0.00027921,0.00027921
9,73.0082,1.20165,1.85495,1.49057,0.00492,1,0.85306,0.439,1.16255,2.95786,1.63383,0.000313072,0.000313072,0.000313072
10,80.9862,1.27147,1.87137,1.56442,0.00492,1,0.80906,0.43852,1.17076,2.89177,1.64245,0.000346142,0.000346142,0.000346142
11,88.943,1.55853,1.96993,1.73584,0.84901,0.32258,0.80942,0.44691,1.19321,2.88034,1.68328,0.00037842,0.00037842,0.00037842
12,97.015,1.26405,1.74465,1.73157,1,0.24063,0.84327,0.43897,1.23512,2.9137,1.72863,0.000409906,0.000409906,0.000409906
13,104.871,1.36636,1.72532,1.7524,0.88999,0.83871,0.91716,0.44155,1.29522,2.88581,1.76682,0.0004406,0.0004406,0.0004406
