epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.0596,1.67987,1.88239,2.07878,0.35245,0.5,0.3611,0.17735,2.07272,2.54897,2.4702,8e-05,8e-05,8e-05
2,59.6866,1.75191,1.81877,2.0542,0.18452,0.26125,0.15174,0.04202,2.57893,5.52175,2.84704,0.000178218,0.000178218,0.000178218
3,86.8448,1.70669,1.75624,1.93009,0.10894,0.53846,0.12158,0.03837,2.27665,5.31729,2.47333,0.000274456,0.000274456,0.000274456
4,113.104,1.60689,1.72548,1.90013,0.47527,0.69231,0.52926,0.18625,1.94823,3.20018,2.27469,0.000368714,0.000368714,0.000368714
5,140.722,1.63676,1.65962,1.88695,0.16886,0.26923,0.12279,0.05684,2.36547,4.68562,2.54125,0.000460992,0.000460992,0.000460992
6,168.165,1.56514,1.61025,1.86222,0.33613,0.26923,0.20246,0.06463,2.36409,4.5321,2.62754,0.00055129,0.00055129,0.00055129
7,194.201,1.6001,1.60481,1.89958,0.2096,0.30769,0.13568,0.04707,2.71137,5.4177,2.9857,0.000639608,0.000639608,0.000639608
8,220.426,1.66967,1.62771,1.93372,0.34266,0.30769,0.24947,0.10522,2.43983,3.88012,2.65151,0.000725946,0.000725946,0.000725946
9,247.234,1.64016,1.61979,1.90702,0.65846,0.5936,0.70086,0.26608,1.98065,2.38287,2.32389,0.000810304,0.000810304,0.000810304
10,274.011,1.5066,1.51504,1.8145,0.78495,0.56206,0.69419,0.26593,2.13888,2.2428,2.48855,0.000892682,0.000892682,0.000892682
11,300.183,1.56946,1.5576,1.83641,0.47976,0.65385,0.5881,0.19078,2.29892,2.85243,2.55541,0.00097308,0.00097308,0.00097308
12,326.336,1.65487,1.58983,1.88694,0.51641,0.57692,0.55623,0.1804,2.22371,2.6428,2.58351,0.0010515,0.0010515,0.0010515
13,353.151,1.53618,1.58975,1.83878,0.72038,0.61538,0.63637,0.19666,2.13058,2.9364,2.67997,0.00112794,0.00112794,0.00112794
14,379.319,1.54923,1.55772,1.87363,0.57418,0.76923,0.67462,0.24864,2.02394,2.82542,2.42319,0.00120239,0.00120239,0.00120239
15,405.607,1.56333,1.54714,1.84222,0.38669,0.53846,0.40933,0.10026,2.4042,2.74668,2.87167,0.00127487,0.00127487,0.00127487
16,432.601,1.64313,1.56177,1.82962,0.5032,0.58456,0.54489,0.17287,2.30289,2.40174,2.61422,0.00134537,0.00134537,0.00134537
17,459.526,1.59192,1.48113,1.83822,0.67166,0.70845,0.68553,0.2418,2.31822,2.29831,2.4725,0.00141389,0.00141389,0.00141389
18,487.102,1.70623,1.59989,1.90994,0.61028,0.53846,0.596,0.19078,2.27881,2.85763,2.49102,0.00148043,0.00148043,0.00148043
19,513.925,1.58968,1.48041,1.84781,0.40174,0.49094,0.35822,0.13752,2.3507,3.08089,2.68286,0.00154498,0.00154498,0.00154498
20,540.668,1.55256,1.45558,1.82032,0.41423,0.5,0.33338,0.08714,2.48351,2.87237,2.91705,0.00160756,0.00160756,0.00160756
21,567.067,1.6577,1.45915,1.85714,0.4899,0.46154,0.43341,0.11379,2.61912,2.83798,3.03405,0.001604,0.001604,0.001604
22,593.953,1.5869,1.48933,1.8209,0.56232,0.49436,0.41634,0.11014,2.51418,2.80191,2.93568,0.0015842,0.0015842,0.0015842
23,621.234,1.48745,1.41763,1.73562,0.67777,0.61538,0.65373,0.21312,2.22293,2.62082,2.59078,0.0015644,0.0015644,0.0015644
24,648.234,1.53453,1.38165,1.76394,0.47019,0.61444,0.54973,0.19931,1.98065,4.42537,2.3264,0.0015446,0.0015446,0.0015446
25,676.049,1.58615,1.38735,1.77086,0.37369,0.45904,0.33533,0.11485,2.27894,4.9835,2.5212,0.0015248,0.0015248,0.0015248
26,702.7,1.60485,1.37046,1.79557,0.29075,0.5,0.2995,0.1059,2.18256,4.17094,2.41458,0.001505,0.001505,0.001505
27,728.7,1.56078,1.41499,1.81963,0.67038,0.46154,0.57552,0.18525,2.09226,3.36803,2.41159,0.0014852,0.0014852,0.0014852
28,755.341,1.65547,1.44936,1.88334,0.61746,0.31059,0.36626,0.16579,2.1568,3.32066,2.43307,0.0014654,0.0014654,0.0014654
29,781.896,1.49483,1.32022,1.74034,0.44133,0.46154,0.41571,0.18515,2.15858,3.1227,2.43287,0.0014456,0.0014456,0.0014456
30,808.638,1.62369,1.40805,1.82887,0.58025,0.65385,0.57841,0.22696,2.10821,2.51826,2.3373,0.0014258,0.0014258,0.0014258
31,835.308,1.56076,1.35003,1.79465,0.70067,0.84615,0.79956,0.27258,2.04544,2.06219,2.27776,0.001406,0.001406,0.001406
32,861.98,1.55426,1.37236,1.80034,0.62005,0.73077,0.66959,0.26539,1.83318,2.00311,2.18079,0.0013862,0.0013862,0.0013862
33,888.596,1.44828,1.27519,1.74938,0.7054,0.73077,0.67715,0.30869,1.83174,1.84881,2.20689,0.0013664,0.0013664,0.0013664
34,915.516,1.54338,1.38519,1.81028,0.64611,0.63237,0.58837,0.25769,2.02006,1.93696,2.37009,0.0013466,0.0013466,0.0013466
35,941.978,1.48435,1.26058,1.76079,0.49288,0.73077,0.58814,0.22012,2.23146,1.95727,2.51978,0.0013268,0.0013268,0.0013268
36,969.677,1.55638,1.42304,1.82435,0.64472,0.5,0.56187,0.22069,2.17217,2.05652,2.39525,0.001307,0.001307,0.001307
37,994.855,1.53761,1.32319,1.78554,0.55746,0.65385,0.61515,0.24247,2.07376,1.96923,2.31839,0.0012872,0.0012872,0.0012872
38,1020.58,1.51107,1.35832,1.82039,0.50058,0.61686,0.58162,0.24166,2.03827,2.04073,2.27252,0.0012674,0.0012674,0.0012674
39,1048.81,1.50449,1.26879,1.76321,0.82541,0.5,0.60604,0.26486,2.01857,1.9746,2.28366,0.0012476,0.0012476,0.0012476
40,1075.9,1.53152,1.32224,1.78847,0.69311,0.57692,0.54573,0.20991,2.11963,2.29951,2.48713,0.0012278,0.0012278,0.0012278
41,1102.44,1.44346,1.27748,1.72086,0.75206,0.57692,0.55807,0.20487,2.22501,2.40534,2.61592,0.001208,0.001208,0.001208
42,1129.08,1.44658,1.26689,1.73707,0.69766,0.57692,0.55882,0.19004,2.25729,2.59201,2.60708,0.0011882,0.0011882,0.0011882
43,1156,1.45441,1.27088,1.71625,0.85379,0.65385,0.71143,0.23952,2.17521,2.61178,2.53468,0.0011684,0.0011684,0.0011684
44,1182.65,1.45545,1.2826,1.73697,0.78739,0.61538,0.66466,0.21753,2.39801,3.14961,2.74239,0.0011486,0.0011486,0.0011486
45,1209.06,1.47158,1.26498,1.75856,0.8001,0.65385,0.77061,0.23597,2.35747,2.87053,2.69455,0.0011288,0.0011288,0.0011288
46,1235.77,1.4991,1.22085,1.75791,0.83203,0.65385,0.77356,0.25933,2.20617,2.42842,2.51948,0.001109,0.001109,0.001109
47,1262.64,1.54186,1.31327,1.75438,0.70483,0.57692,0.67331,0.22379,2.27215,2.50768,2.54562,0.0010892,0.0010892,0.0010892
48,1289.67,1.50432,1.26109,1.76427,0.66286,0.57692,0.64943,0.27112,2.10338,2.04822,2.35657,0.0010694,0.0010694,0.0010694
49,1316.55,1.39787,1.15875,1.64454,0.71783,0.5,0.64118,0.28789,1.96466,1.75092,2.24556,0.0010496,0.0010496,0.0010496
50,1343.06,1.4403,1.15993,1.69521,0.67379,0.5,0.57351,0.24517,1.99022,1.96286,2.26141,0.0010298,0.0010298,0.0010298
51,1369.04,1.45778,1.12165,1.70677,0.52674,0.5,0.44456,0.18897,2.00237,1.97322,2.33453,0.00101,0.00101,0.00101
52,1395.37,1.37759,1.12086,1.62975,0.53955,0.54091,0.48135,0.2164,1.98893,2.00977,2.35661,0.0009902,0.0009902,0.0009902
53,1421.59,1.46399,1.17025,1.74942,0.734,0.57692,0.63762,0.25425,1.97428,1.81441,2.35978,0.0009704,0.0009704,0.0009704
