epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3723,2.11841,2.91775,2.16701,0.012,0.9,0.06125,0.02466,1.95191,3.06444,2.10836,0,0,0
2,46.5734,2.13782,2.85594,2.14291,0.012,0.9,0.06753,0.0295,1.9476,3.04873,2.09515,1.9802e-05,1.9802e-05,1.9802e-05
3,55.6736,2.02119,2.71574,2.06852,0.01167,0.875,0.08894,0.03837,1.89343,3.03901,2.05393,3.9208e-05,3.9208e-05,3.9208e-05
4,63.6268,1.87422,2.68502,2.19207,0.01167,0.875,0.11686,0.06134,1.79775,3.03318,1.99782,5.8218e-05,5.8218e-05,5.8218e-05
5,80.5203,1.82888,2.71779,2.03776,0.01167,0.875,0.11971,0.06863,1.74236,3.01829,1.96189,7.6832e-05,7.6832e-05,7.6832e-05
6,94.5499,1.6419,2.55078,1.83429,0.01167,0.875,0.14118,0.08677,1.7398,2.98367,1.95695,9.505e-05,9.505e-05,9.505e-05
7,111.166,1.60971,2.67701,1.83657,0.012,0.9,0.13393,0.08332,1.66968,3.00018,1.94311,0.000112872,0.000112872,0.000112872
8,123.134,1.6096,2.53283,1.83302,0.01233,0.925,0.11941,0.08052,1.66823,2.98587,1.93803,0.000130298,0.000130298,0.000130298
9,136.104,1.66116,2.56445,1.97749,0.01233,0.925,0.12522,0.07921,1.61341,2.97354,1.90025,0.000147328,0.000147328,0.000147328
10,149.241,1.43762,2.52736,1.73104,0.012,0.9,0.13354,0.07907,1.65211,2.99191,1.91896,0.000163962,0.000163962,0.000163962
11,164.301,1.45609,2.34764,1.67543,0.012,0.9,0.16088,0.09087,1.70175,2.99443,1.94411,0.0001802,0.0001802,0.0001802
12,176.004,1.53132,2.1517,1.75563,0.01233,0.925,0.17979,0.0875,1.75747,2.97389,1.97868,0.000196042,0.000196042,0.000196042
13,187.738,1.19428,2.07933,1.53506,0.01267,0.95,0.19957,0.09471,1.78068,2.96347,2.02429,0.000211488,0.000211488,0.000211488
14,200.423,1.38317,1.93087,1.71442,0.01267,0.95,0.2353,0.1112,1.75659,2.95818,2.01339,0.000226538,0.000226538,0.000226538
15,211.871,1.37798,1.96532,1.68691,0.01267,0.95,0.26375,0.11659,1.73005,2.95786,2.03591,0.000241192,0.000241192,0.000241192
16,224.983,1.32817,1.82625,1.59692,0.013,0.975,0.22437,0.11175,1.80058,2.95283,2.09828,0.00025545,0.00025545,0.00025545
17,237.62,1.40142,1.59861,1.59749,0.01267,0.95,0.235,0.09991,1.82436,2.96766,2.12762,0.000269312,0.000269312,0.000269312
18,249.332,1.6107,1.85528,1.78226,0.01267,0.95,0.235,0.09991,1.82436,2.96766,2.12762,0.000282778,0.000282778,0.000282778
19,262.558,1.28719,1.64823,1.61136,0.01267,0.95,0.20203,0.074,1.95422,3.0178,2.20441,0.000295848,0.000295848,0.000295848
20,275.226,1.41235,1.53228,1.57851,0.01267,0.95,0.20203,0.074,1.95422,3.0178,2.20441,0.000308522,0.000308522,0.000308522
21,290.293,1.26463,1.83068,1.65944,0.012,0.9,0.17658,0.05861,1.96572,3.04781,2.20167,0.0003208,0.0003208,0.0003208
22,302.769,1.43491,1.71006,1.76282,0.012,0.9,0.17658,0.05861,1.96572,3.04781,2.20167,0.000332682,0.000332682,0.000332682
23,315.68,1.38053,1.47055,1.4834,0.013,0.975,0.1614,0.04608,1.952,3.08959,2.21246,0.000344168,0.000344168,0.000344168
24,328.155,1.41863,1.62328,1.59027,0.013,0.975,0.1614,0.04608,1.952,3.08959,2.21246,0.000355258,0.000355258,0.000355258
25,339.907,1.32701,1.51811,1.58301,0.01233,0.925,0.16227,0.0533,1.96852,3.0804,2.19812,0.000365952,0.000365952,0.000365952
26,351.337,1.3482,1.63686,1.60207,0.01233,0.925,0.16227,0.0533,1.96852,3.0804,2.19812,0.00037625,0.00037625,0.00037625
27,362.69,1.33416,1.64786,1.5538,0.01575,0.775,0.20315,0.06979,1.86624,3.0054,2.15584,0.000386152,0.000386152,0.000386152
28,369.508,1.35129,1.46916,1.42201,0.01575,0.775,0.20315,0.06979,1.86624,3.0054,2.15584,0.000395658,0.000395658,0.000395658
29,377.118,1.38147,1.69824,1.694,0.52421,0.05,0.24331,0.09348,1.73995,2.9048,2.05997,0.000404768,0.000404768,0.000404768
30,388.809,1.34441,1.48393,1.46241,0.52421,0.05,0.24331,0.09348,1.73995,2.9048,2.05997,0.000413482,0.000413482,0.000413482
31,400.461,1.18022,1.48374,1.38748,0.40536,0.1,0.30377,0.11432,1.67471,2.82174,1.95724,0.0004218,0.0004218,0.0004218
32,411.895,1.22463,1.36812,1.42141,0.40536,0.1,0.30377,0.11432,1.67471,2.82174,1.95724,0.000429722,0.000429722,0.000429722
33,424.913,1.40832,1.55506,1.62002,0.45948,0.12772,0.31709,0.1084,1.71792,2.77938,1.97593,0.000437248,0.000437248,0.000437248
34,437.208,1.26101,1.47193,1.58492,0.45948,0.12772,0.31709,0.1084,1.71792,2.77938,1.97593,0.000444378,0.000444378,0.000444378
35,450.175,1.17206,1.29193,1.26299,0.47509,0.1363,0.30285,0.10679,1.81773,2.82021,2.06606,0.000451112,0.000451112,0.000451112
36,461.937,1.42937,1.49835,1.6868,0.47509,0.1363,0.30285,0.10679,1.81773,2.82021,2.06606,0.00045745,0.00045745,0.00045745
37,473.069,1.20194,1.25508,1.31406,0.52232,0.1,0.26247,0.08538,1.95311,2.89891,2.22067,0.000463392,0.000463392,0.000463392
38,484.611,1.20321,1.28822,1.41161,0.52232,0.1,0.26247,0.08538,1.95311,2.89891,2.22067,0.000468938,0.000468938,0.000468938
39,498.521,1.33364,1.3924,1.54362,0.60846,0.125,0.23459,0.07249,2.01706,2.94501,2.31188,0.000474088,0.000474088,0.000474088
