epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.8152,1.30035,1.39045,1.54025,0.34624,0.475,0.35398,0.14411,1.87023,2.19659,1.95278,2e-05,2e-05,2e-05
2,97.163,1.29832,1.3213,1.58132,0.45026,0.35,0.3322,0.13589,2.04862,2.24022,2.07906,5.9406e-05,5.9406e-05,5.9406e-05
3,170.075,1.16916,1.24826,1.34994,0.45912,0.3,0.31809,0.11723,2.15786,2.38984,2.23318,9.802e-05,9.802e-05,9.802e-05
4,244.702,1.22151,1.30658,1.45494,0.43861,0.225,0.25721,0.08055,2.39959,2.53115,2.49679,0.000135842,0.000135842,0.000135842
5,349.414,1.02827,1.13101,1.3122,0.19452,0.17508,0.17239,0.05341,2.53259,2.78982,2.73368,0.000172872,0.000172872,0.000172872
6,408.343,1.19279,1.38549,1.41003,0.13294,0.1,0.12816,0.0357,2.57373,2.98477,2.82678,0.00020911,0.00020911,0.00020911
7,471.678,1.19785,1.09816,1.36218,0.25278,0.1,0.11259,0.0413,2.50792,3.00203,2.7152,0.000244556,0.000244556,0.000244556
8,542.061,1.28811,1.26123,1.54666,0.16249,0.1,0.08968,0.02792,2.52674,3.11881,2.86113,0.00027921,0.00027921,0.00027921
9,644.704,1.35407,1.14912,1.38562,0.15863,0.1,0.07522,0.0189,2.58079,3.21181,2.91697,0.000313072,0.000313072,0.000313072
10,738.265,1.25433,1.34626,1.48905,0.12695,0.075,0.04924,0.01271,2.62804,3.28198,2.97115,0.000346142,0.000346142,0.000346142
11,850.872,1.31842,1.74898,1.61025,0.08359,0.05,0.03146,0.00695,2.71315,3.34223,3.06642,0.00037842,0.00037842,0.00037842
12,1004.22,1.15019,1.19657,1.34571,0.06437,0.075,0.01778,0.00508,2.72977,3.47829,3.10414,0.000409906,0.000409906,0.000409906
13,1128.98,1.03675,1.02384,1.24318,0.10906,0.075,0.04657,0.00878,2.64659,3.38889,3.00555,0.0004406,0.0004406,0.0004406
14,1269.02,1.22184,1.15498,1.49418,0.16676,0.05,0.04633,0.00948,2.64056,3.25655,3.0295,0.000470502,0.000470502,0.000470502
15,1369.33,1.14942,1.10128,1.34041,0.10758,0.12359,0.06865,0.01387,2.7876,3.11717,3.10502,0.000499612,0.000499612,0.000499612
16,1447.69,1.5349,1.51352,1.97001,0.12229,0.1,0.06889,0.01654,2.92137,3.13416,3.25561,0.00052793,0.00052793,0.00052793
17,1541.27,1.32662,1.33455,1.46187,0.13765,0.1,0.07334,0.01989,3.07303,3.19274,3.52596,0.000555456,0.000555456,0.000555456
18,1628.94,1.55085,1.46233,1.66952,0.1907,0.15,0.08017,0.02404,2.95835,3.06535,3.31628,0.00058219,0.00058219,0.00058219
19,1731.88,1.33002,1.41228,1.61222,0.3347,0.175,0.1263,0.03534,2.71031,2.90676,2.86827,0.000608132,0.000608132,0.000608132
20,1803.04,1.29052,1.4313,1.53256,0.49867,0.175,0.2067,0.06417,2.3679,2.70517,2.51437,0.000633282,0.000633282,0.000633282
21,1857.55,1.30513,1.24178,1.50439,0.2735,0.425,0.2852,0.10362,2.02528,2.4175,2.09804,0.00065764,0.00065764,0.00065764
22,1914.2,1.35054,1.45881,1.67472,0.42581,0.375,0.35613,0.16755,1.77524,2.2327,1.84936,0.000681206,0.000681206,0.000681206
23,2002.83,1.2474,1.2156,1.47048,0.47489,0.55,0.53653,0.20418,1.88244,2.02624,1.99146,0.00070398,0.00070398,0.00070398
24,2049.76,1.30857,1.48088,1.64866,0.37788,0.575,0.44837,0.17681,1.96653,2.12952,2.122,0.000725962,0.000725962,0.000725962
25,2105.35,1.43401,1.21669,1.49954,0.48768,0.45,0.40386,0.159,1.94551,2.46396,2.1182,0.000747152,0.000747152,0.000747152
26,2193.55,1.19953,1.17127,1.47425,0.24859,0.45,0.24787,0.11478,1.94541,3.25632,2.17204,0.00076755,0.00076755,0.00076755
27,2321.04,1.05828,1.22783,1.39041,0.35654,0.3,0.28598,0.12604,1.99273,3.25851,2.20364,0.000787156,0.000787156,0.000787156
28,2486.89,1.18606,1.22532,1.40363,0.35654,0.3,0.28598,0.12604,1.99273,3.25851,2.20364,0.00080597,0.00080597,0.00080597
29,2553.01,1.42837,1.3578,1.75746,0.11554,0.45,0.1675,0.08525,2.08446,3.6511,2.33124,0.000823992,0.000823992,0.000823992
30,2635.11,1.39254,1.39922,1.58566,0.2707,0.15,0.12061,0.0481,2.16004,3.75558,2.50099,0.000841222,0.000841222,0.000841222
31,2718.74,1.25579,1.33515,1.56434,0.2707,0.15,0.12061,0.0481,2.16004,3.75558,2.50099,0.00085766,0.00085766,0.00085766
32,2784.46,1.23129,1.33086,1.44131,0.44011,0.15,0.11628,0.02646,2.3286,3.74058,2.76734,0.000873306,0.000873306,0.000873306
33,2848.56,1.40911,1.3865,1.64198,0.62306,0.125,0.12264,0.02683,2.40233,3.45209,3.06589,0.00088816,0.00088816,0.00088816
34,2961.83,1.49107,1.5061,1.69152,0.62306,0.125,0.12264,0.02683,2.40233,3.45209,3.06589,0.000902222,0.000902222,0.000902222
35,3029.02,1.2847,1.19905,1.4918,0.26797,0.28383,0.17245,0.05195,2.40881,3.00705,3.06025,0.000915492,0.000915492,0.000915492
36,3122.12,1.37335,1.37386,1.6768,0.42021,0.275,0.2787,0.09391,2.28431,2.83515,2.68231,0.00092797,0.00092797,0.00092797
37,3210.26,1.25512,1.25951,1.47942,0.42021,0.275,0.2787,0.09391,2.28431,2.83515,2.68231,0.000939656,0.000939656,0.000939656
38,3276.01,1.31224,1.29221,1.56035,0.28005,0.3,0.20515,0.08028,2.27607,2.78618,2.47309,0.00095055,0.00095055,0.00095055
39,3342.44,1.2339,1.20836,1.49365,0.36923,0.375,0.24444,0.08237,2.1503,2.74723,2.43831,0.000960652,0.000960652,0.000960652
40,3402.06,1.29886,1.23234,1.41515,0.36923,0.375,0.24444,0.08237,2.1503,2.74723,2.43831,0.000969962,0.000969962,0.000969962
41,3456.15,1.3112,1.29419,1.49064,0.37342,0.3,0.23267,0.07819,2.25256,2.81369,2.58199,0.00097848,0.00097848,0.00097848
42,3605.52,1.16907,1.13999,1.40405,0.42026,0.425,0.35685,0.11059,2.16724,2.69713,2.42012,0.000986206,0.000986206,0.000986206
43,3908.56,1.29491,1.22008,1.54681,0.42026,0.425,0.35685,0.11059,2.16724,2.69713,2.42012,0.00099314,0.00099314,0.00099314
44,4309.14,1.08072,1.12072,1.35146,0.49765,0.5,0.39225,0.15517,2.13066,2.62493,2.25945,0.000999282,0.000999282,0.000999282
45,4543.99,1.58058,1.61365,1.88092,0.49765,0.5,0.39225,0.15517,2.13066,2.62493,2.25945,0.00100463,0.00100463,0.00100463
46,4649.51,1.1462,1.26069,1.40455,0.42354,0.425,0.39322,0.15016,2.15933,2.44169,2.28587,0.00100919,0.00100919,0.00100919
47,4756.34,1.29132,1.22963,1.49633,0.42354,0.425,0.39322,0.15016,2.15933,2.44169,2.28587,0.00101296,0.00101296,0.00101296
48,4828.41,1.249,1.21327,1.49541,0.63116,0.25699,0.34295,0.12423,2.33432,2.4758,2.4128,0.00101593,0.00101593,0.00101593
49,4936.8,1.27092,1.29379,1.48852,0.63116,0.25699,0.34295,0.12423,2.33432,2.4758,2.4128,0.00101811,0.00101811,0.00101811
50,5043.96,1.17135,1.13498,1.31273,0.38166,0.275,0.30634,0.10676,2.25485,2.41881,2.35502,0.0010195,0.0010195,0.0010195
51,5132.97,1.03215,1.15987,1.41017,0.38166,0.275,0.30634,0.10676,2.25485,2.41881,2.35502,0.00101,0.00101,0.00101
52,5210.8,1.26514,1.22573,1.53126,0.21072,0.25,0.20232,0.06928,2.3254,2.70185,2.41696,0.0009902,0.0009902,0.0009902
53,5288.37,1.20549,1.21289,1.48586,0.21072,0.25,0.20232,0.06928,2.3254,2.70185,2.41696,0.0009704,0.0009704,0.0009704
54,5385.22,1.23122,1.22511,1.43244,0.4985,0.3,0.3124,0.11828,2.2692,2.30727,2.31024,0.0009506,0.0009506,0.0009506
55,5484.67,1.10483,1.13605,1.36921,0.4985,0.3,0.3124,0.11828,2.2692,2.30727,2.31024,0.0009308,0.0009308,0.0009308
56,5588.97,1.23418,1.20487,1.51111,0.39299,0.325,0.33312,0.13287,2.35332,2.28146,2.40961,0.000911,0.000911,0.000911
57,5655.23,1.2629,1.11741,1.41695,0.39299,0.325,0.33312,0.13287,2.35332,2.28146,2.40961,0.0008912,0.0008912,0.0008912
58,5753.63,1.28475,1.13665,1.58406,0.36866,0.3,0.28028,0.11014,2.33197,2.49661,2.47423,0.0008714,0.0008714,0.0008714
59,5821.36,1.2239,1.09538,1.39137,0.36866,0.3,0.28028,0.11014,2.33197,2.49661,2.47423,0.0008516,0.0008516,0.0008516
