epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.3674,1.51512,1.66152,1.65493,0.54014,0.625,0.5689,0.22792,1.8155,1.90037,1.91259,4e-05,4e-05,4e-05
2,66.3456,1.37067,1.47517,1.49252,0.54112,0.625,0.56604,0.21445,2.02565,1.82215,2.08546,9.901e-05,9.901e-05,9.901e-05
3,96.8677,1.3557,1.35016,1.57313,0.64213,0.49359,0.56871,0.21294,2.03394,1.82868,2.10708,0.000156832,0.000156832,0.000156832
4,133.973,1.28451,1.41335,1.54938,0.31438,0.525,0.37387,0.14759,2.08369,2.11656,2.18265,0.000213466,0.000213466,0.000213466
5,159.579,1.4282,1.34132,1.56755,0.34465,0.525,0.39417,0.13549,2.18757,2.30149,2.37234,0.000268912,0.000268912,0.000268912
6,219.533,1.34724,1.31855,1.52947,0.54593,0.39095,0.43253,0.15523,2.06225,2.24793,2.21017,0.00032317,0.00032317,0.00032317
7,296.662,1.23285,1.2001,1.44114,0.65328,0.6,0.58447,0.24713,1.91831,1.85921,1.92663,0.00037624,0.00037624,0.00037624
8,391.801,1.32316,1.33094,1.50634,0.75835,0.525,0.57908,0.27281,1.80095,1.77907,1.83726,0.000428122,0.000428122,0.000428122
9,479.262,1.21685,1.21553,1.42969,0.71141,0.55478,0.62538,0.28063,1.81107,1.74522,1.80704,0.000478816,0.000478816,0.000478816
10,580.245,1.30749,1.27645,1.458,0.68142,0.58838,0.61353,0.30701,1.77589,1.6792,1.78742,0.000528322,0.000528322,0.000528322
11,700.307,1.37516,1.26152,1.53959,0.71567,0.44072,0.5584,0.26247,1.92899,1.77703,1.97303,0.00057664,0.00057664,0.00057664
12,759.999,1.34864,1.2794,1.51178,0.60277,0.49331,0.54093,0.20912,2.07685,1.87167,2.06032,0.00062377,0.00062377,0.00062377
13,805.875,1.28846,1.26439,1.48262,0.61386,0.47698,0.5227,0.17745,2.1862,1.99563,2.15576,0.000669712,0.000669712,0.000669712
14,854.166,1.30675,1.28108,1.48904,0.70424,0.5,0.55267,0.21781,2.08053,1.87955,2.09756,0.000714466,0.000714466,0.000714466
15,896.759,1.3592,1.23111,1.45567,0.72922,0.4041,0.53554,0.21913,1.94918,1.90726,1.97068,0.000758032,0.000758032,0.000758032
16,949.556,1.27675,1.19018,1.47235,0.76072,0.425,0.55668,0.23779,1.98641,1.86993,1.99888,0.00080041,0.00080041,0.00080041
17,999.675,1.27772,1.22327,1.43829,0.47779,0.525,0.54847,0.24223,1.97988,1.7265,1.97015,0.0008416,0.0008416,0.0008416
18,1049.6,1.35693,1.32453,1.51974,0.58941,0.45,0.50565,0.22283,2.01056,1.82102,1.97948,0.000881602,0.000881602,0.000881602
19,1095.6,1.35171,1.2519,1.48568,0.46903,0.5,0.44008,0.16624,2.18499,2.09857,2.29003,0.000920416,0.000920416,0.000920416
20,1148.12,1.31015,1.18913,1.49004,0.49362,0.3,0.28973,0.08217,2.41629,2.69304,2.70363,0.000958042,0.000958042,0.000958042
21,1199.52,1.41501,1.29991,1.57048,0.53316,0.3,0.27809,0.06755,2.52002,2.63448,2.88937,0.00099448,0.00099448,0.00099448
22,1242.45,1.35158,1.20157,1.4566,0.53246,0.45567,0.44209,0.16259,2.1795,2.2517,2.33679,0.00102973,0.00102973,0.00102973
23,1291.6,1.24574,1.16723,1.42181,0.71468,0.50101,0.57603,0.23167,1.96726,2.23034,2.09078,0.00106379,0.00106379,0.00106379
24,1350.69,1.19118,1.12562,1.36759,0.46862,0.63947,0.54157,0.24197,1.85649,2.20416,2.03594,0.00109667,0.00109667,0.00109667
25,1402.8,1.23152,1.22992,1.48579,0.5241,0.5,0.52847,0.21824,1.85615,2.14296,1.92105,0.00112835,0.00112835,0.00112835
26,1445.08,1.2835,1.23269,1.47281,0.52391,0.63286,0.56487,0.2575,1.86326,1.88788,1.8696,0.00115885,0.00115885,0.00115885
27,1493.98,1.26051,1.23415,1.44893,0.33265,0.54833,0.38477,0.14125,2.23564,2.06737,2.19737,0.00118816,0.00118816,0.00118816
28,1542.48,1.22586,1.14634,1.43247,0.3253,0.37368,0.26286,0.06306,2.71636,2.40627,2.53781,0.00121628,0.00121628,0.00121628
29,1598.99,1.1701,1.10907,1.37901,0.3253,0.37368,0.26286,0.06306,2.71636,2.40627,2.53781,0.00124322,0.00124322,0.00124322
30,1641.27,1.2396,1.18917,1.43707,0.26405,0.325,0.20443,0.05392,2.90667,2.745,2.7644,0.00126896,0.00126896,0.00126896
31,1686.74,1.27241,1.16689,1.42505,0.28997,0.3,0.27529,0.09351,2.69487,2.89501,2.70556,0.00129352,0.00129352,0.00129352
32,1730.42,1.25615,1.18652,1.53366,0.35326,0.55,0.37593,0.14857,2.21169,2.6464,2.24826,0.00131689,0.00131689,0.00131689
33,1778.05,1.3291,1.20052,1.50919,0.35326,0.55,0.37593,0.14857,2.21169,2.6464,2.24826,0.00133907,0.00133907,0.00133907
34,1822.22,1.20796,1.10765,1.42346,0.41803,0.5,0.43794,0.154,2.1009,2.2619,2.13947,0.0013466,0.0013466,0.0013466
