epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.66277,2.62326,2.69752,2.69646,0.01,0.75,0.10294,0.04392,1.94048,2.91746,2.11856,0,0,0
2,11.6003,2.17706,2.84098,2.33741,0.01,0.75,0.09656,0.04245,1.93391,2.90484,2.10658,1.9802e-05,1.9802e-05,1.9802e-05
3,15.2082,2.02568,2.75139,2.20672,0.01,0.75,0.09507,0.04286,1.90871,2.8899,2.09218,3.9208e-05,3.9208e-05,3.9208e-05
4,18.9024,1.88378,2.71823,2.03963,0.01,0.75,0.10896,0.05176,1.88913,2.84469,2.06005,5.8218e-05,5.8218e-05,5.8218e-05
5,22.5901,1.98838,2.69601,2.18106,0.01,0.75,0.09149,0.03558,1.98068,2.79636,2.1476,7.6832e-05,7.6832e-05,7.6832e-05
6,25.9117,2.20739,2.69761,2.40673,0.01,0.75,0.09143,0.03094,1.95863,2.78701,2.13645,9.505e-05,9.505e-05,9.505e-05
7,29.9528,1.76884,2.51712,1.94787,0.01,0.75,0.10129,0.03959,1.93474,2.82322,2.11914,0.000112872,0.000112872,0.000112872
8,34.6437,1.95171,2.68999,2.10394,0.00833,0.625,0.0847,0.03398,1.96311,2.74135,2.09588,0.000130298,0.000130298,0.000130298
9,39.0217,2.04645,2.57467,2.12272,0.00833,0.625,0.1383,0.05122,1.99271,2.68253,2.10862,0.000147328,0.000147328,0.000147328
10,43.1454,1.71318,2.50412,1.90151,0.00833,0.625,0.12673,0.06408,2.03658,2.67747,2.14178,0.000163962,0.000163962,0.000163962
11,47.0323,1.6753,2.47868,1.95059,0.01,0.75,0.17327,0.06599,2.18944,2.6846,2.161,0.0001802,0.0001802,0.0001802
12,50.6037,1.80572,2.51614,2.04572,0.01,0.75,0.25916,0.10501,2.25529,2.66275,2.1127,0.000196042,0.000196042,0.000196042
13,54.4113,1.74843,2.62528,2.13525,0.01,0.75,0.1462,0.06289,2.35454,2.66643,2.20131,0.000211488,0.000211488,0.000211488
14,60.3335,1.58752,2.36094,1.90244,0.01,0.75,0.13407,0.04367,2.38787,2.6653,2.31464,0.000226538,0.000226538,0.000226538
15,66.9156,1.68395,2.25462,1.88671,0.01,0.75,0.14716,0.04202,2.47464,2.64066,2.3498,0.000241192,0.000241192,0.000241192
16,73.5676,1.56573,2.20524,1.86725,0.01,0.75,0.16491,0.04046,2.51002,2.65654,2.51676,0.00025545,0.00025545,0.00025545
17,80.832,1.74605,2.31924,1.96867,0.01,0.75,0.2016,0.04556,2.47882,2.69657,2.46092,0.000269312,0.000269312,0.000269312
18,87.2654,1.64284,2.28417,1.90613,0.01,0.75,0.2016,0.04556,2.47882,2.69657,2.46092,0.000282778,0.000282778,0.000282778
19,93.6494,1.52475,2.18596,1.82322,0.00833,0.625,0.15818,0.04645,2.6332,2.62914,2.54805,0.000295848,0.000295848,0.000295848
20,99.8925,1.77585,2.3315,2.14286,0.00833,0.625,0.15818,0.04645,2.6332,2.62914,2.54805,0.000308522,0.000308522,0.000308522
21,106.295,1.77615,2.05771,1.9654,0.01,0.75,0.20971,0.05478,2.67899,2.61575,2.61925,0.0003208,0.0003208,0.0003208
22,113.612,1.45029,2.04132,1.7484,0.01,0.75,0.20971,0.05478,2.67899,2.61575,2.61925,0.000332682,0.000332682,0.000332682
23,118.824,1.65888,2.16665,1.84977,0.01,0.75,0.19609,0.06244,2.65132,2.65725,2.5895,0.000344168,0.000344168,0.000344168
24,122.231,1.61563,1.87973,1.87906,0.01,0.75,0.19609,0.06244,2.65132,2.65725,2.5895,0.000355258,0.000355258,0.000355258
25,125.459,1.551,1.93778,1.69901,0.01,0.75,0.17881,0.06555,2.51179,2.62497,2.46772,0.000365952,0.000365952,0.000365952
26,130.434,1.45873,2.19765,1.89294,0.01,0.75,0.17881,0.06555,2.51179,2.62497,2.46772,0.00037625,0.00037625,0.00037625
27,137.89,1.74586,2.00637,1.92233,0.01,0.75,0.18476,0.06876,2.68042,2.70149,2.84602,0.000386152,0.000386152,0.000386152
28,146.036,1.46808,1.82426,1.76424,0.01,0.75,0.18476,0.06876,2.68042,2.70149,2.84602,0.000395658,0.000395658,0.000395658
29,152.439,1.44254,1.8392,1.72955,0.01,0.75,0.13935,0.03473,2.93471,2.84533,3.24033,0.000404768,0.000404768,0.000404768
30,159.567,1.73285,2.09534,1.85015,0.01,0.75,0.13935,0.03473,2.93471,2.84533,3.24033,0.000413482,0.000413482,0.000413482
31,166.321,1.60545,2.09792,1.82073,0.01,0.75,0.19886,0.04451,2.97437,2.79291,3.0895,0.0004218,0.0004218,0.0004218
32,173.027,1.50076,1.86421,1.81149,0.01,0.75,0.19886,0.04451,2.97437,2.79291,3.0895,0.000429722,0.000429722,0.000429722
33,179.434,1.36322,1.80511,1.62818,0.01,0.75,0.14952,0.04229,2.81062,2.83528,3.06205,0.000437248,0.000437248,0.000437248
34,185.515,1.42552,1.82784,1.68673,0.01,0.75,0.14952,0.04229,2.81062,2.83528,3.06205,0.000444378,0.000444378,0.000444378
