epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.41286,0.9456,2.50588,1.35356,0.00333,1,0.09239,0.0639,0.5039,3.50953,1.14006,2e-05,2e-05,2e-05
2,15.0685,1.09711,2.71777,1.53207,0.00333,1,0.09255,0.08072,0.45799,3.48485,1.11897,5.8812e-05,5.8812e-05,5.8812e-05
3,21.262,1.15224,2.49258,1.55714,0.00333,1,0.08652,0.07497,0.45178,3.43493,1.0754,9.604e-05,9.604e-05,9.604e-05
4,27.2568,0.80231,2.27307,1.2727,0.00333,1,0.22393,0.16983,0.50312,3.39959,1.1617,0.000131684,0.000131684,0.000131684
5,33.2617,0.83408,2.12564,1.31979,0.00333,1,0.66726,0.48402,0.62466,3.42065,1.25163,0.000165744,0.000165744,0.000165744
6,39.152,0.68341,1.64973,1.17662,0.00333,1,0.66698,0.46672,0.64496,3.32552,1.2365,0.00019822,0.00019822,0.00019822
7,45.0283,0.89042,2.02201,1.23362,0.00416,0.66667,0.66695,0.5334,0.62625,3.07813,1.17721,0.000229112,0.000229112,0.000229112
8,51.1127,0.86324,1.52113,1.3267,0.00333,1,0.5018,0.43483,0.63087,3.05367,1.1908,0.00025842,0.00025842,0.00025842
9,56.9162,0.70118,1.2047,1.17279,0.00333,1,0.26355,0.22749,0.57913,3.11523,1.14626,0.000286144,0.000286144,0.000286144
10,62.6657,0.79363,1.51818,1.3481,0.00333,1,0.50166,0.43474,0.62461,3.08426,1.20103,0.000312284,0.000312284,0.000312284
11,68.5698,0.57259,1.02146,1.04537,0.74804,0.66667,0.66658,0.56668,0.7217,3.04013,1.24772,0.00033684,0.00033684,0.00033684
12,74.7346,0.93069,1.31495,1.39283,0.89724,0.66667,0.66655,0.53366,0.8072,3.10473,1.28581,0.000359812,0.000359812,0.000359812
13,80.5889,0.69144,1.14955,1.09572,0.75632,0.66667,0.66653,0.53311,0.94031,3.1783,1.4169,0.0003812,0.0003812,0.0003812
14,86.6048,0.62842,1.10021,1.05873,0.88522,0.66667,0.69176,0.50519,1.05191,3.24231,1.61711,0.000401004,0.000401004,0.000401004
15,92.604,0.65532,1.06021,1.1104,1,0.57138,0.66661,0.53304,1.03668,3.31953,1.55657,0.000419224,0.000419224,0.000419224
16,98.5109,0.90025,1.2873,1.29199,0.58596,0.50526,0.5566,0.42303,1.08339,3.38146,1.53085,0.00043586,0.00043586,0.00043586
17,104.457,0.68682,0.98688,1.2129,0.64631,0.66667,0.55537,0.44484,1.07449,3.38883,1.60966,0.000450912,0.000450912,0.000450912
18,110.729,0.69526,0.93636,1.08137,0.64232,0.66667,0.44371,0.33337,0.99652,3.09138,1.68387,0.00046438,0.00046438,0.00046438
19,116.63,0.92147,1.29978,1.42053,0.64345,0.66667,0.44371,0.33373,1.07042,2.9234,1.85003,0.000476264,0.000476264,0.000476264
20,122.564,0.66626,1.29226,1.19127,0.65276,0.66667,0.44371,0.29052,1.05522,2.91235,1.74776,0.000486564,0.000486564,0.000486564
