epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6338,1.99818,2.78112,2.11919,0.00733,0.6875,0.13531,0.04149,1.94701,3.20869,2.1948,0,0,0
2,23.6499,1.87856,2.80809,2.01323,0.00733,0.6875,0.12987,0.04358,1.88911,3.16796,2.14308,1.9604e-05,1.9604e-05,1.9604e-05
3,39.9241,1.70128,2.67599,1.85954,0.00733,0.6875,0.15091,0.05179,1.85419,3.14997,2.07979,3.8416e-05,3.8416e-05,3.8416e-05
4,51.4058,1.55437,2.64281,1.83845,0.00767,0.71875,0.11995,0.04354,1.7364,3.12684,1.95646,5.6436e-05,5.6436e-05,5.6436e-05
5,63.4202,1.50831,2.68389,1.87421,0.00767,0.71875,0.12029,0.05049,1.58786,3.07823,1.84875,7.3664e-05,7.3664e-05,7.3664e-05
6,74.4916,1.55525,2.6149,1.7482,0.00767,0.71875,0.14679,0.05761,1.55944,3.03286,1.78539,9.01e-05,9.01e-05,9.01e-05
7,85.1878,1.51819,2.47748,1.76689,0.00767,0.71875,0.13508,0.06116,1.48192,3.0023,1.71428,0.000105744,0.000105744,0.000105744
8,99.1781,1.49858,2.55722,1.71801,0.00767,0.71875,0.16506,0.07226,1.30195,2.97742,1.58168,0.000120596,0.000120596,0.000120596
9,115.676,1.41869,2.47935,1.67575,0.00767,0.71875,0.18086,0.08649,1.20112,2.93176,1.48588,0.000134656,0.000134656,0.000134656
10,128.203,1.35415,2.47193,1.61054,0.00767,0.71875,0.22837,0.11914,1.06764,2.88803,1.39122,0.000147924,0.000147924,0.000147924
11,139.053,1.12883,2.15088,1.3711,0.00767,0.71875,0.21364,0.11974,1.03265,2.86857,1.34144,0.0001604,0.0001604,0.0001604
12,156.534,1.23884,2.32001,1.52537,0.00767,0.71875,0.22507,0.1267,0.99996,2.82853,1.30095,0.000172084,0.000172084,0.000172084
13,179.371,1.16225,2.08872,1.44117,0.00767,0.71875,0.22793,0.12817,1.10093,2.79725,1.33246,0.000182976,0.000182976,0.000182976
14,192.596,1.11922,2.11632,1.46946,0.00767,0.71875,0.22143,0.12677,1.07792,2.78064,1.31007,0.000193076,0.000193076,0.000193076
15,204.937,1.21447,1.78409,1.5396,0.00767,0.71875,0.27427,0.1645,1.00346,2.70885,1.26496,0.000202384,0.000202384,0.000202384
16,216.108,1.26688,1.8939,1.48437,0.00767,0.71875,0.33891,0.22735,0.89929,2.61532,1.18894,0.0002109,0.0002109,0.0002109
17,227.855,1.01847,1.79281,1.31522,0.00767,0.71875,0.40913,0.27335,0.85606,2.52938,1.14327,0.000218624,0.000218624,0.000218624
18,240.075,0.97576,1.82643,1.312,0.00767,0.71875,0.40913,0.27335,0.85606,2.52938,1.14327,0.000225556,0.000225556,0.000225556
19,260.78,1.13898,1.72749,1.38041,0.27391,0.59375,0.43759,0.29616,0.86933,2.45669,1.15121,0.000231696,0.000231696,0.000231696
20,273.028,0.95305,1.66068,1.24629,0.27391,0.59375,0.43759,0.29616,0.86933,2.45669,1.15121,0.000237044,0.000237044,0.000237044
21,284.116,0.99644,1.87825,1.49403,0.66673,0.21875,0.42005,0.27751,0.86185,2.42049,1.14594,0.0002416,0.0002416,0.0002416
22,294.7,0.97148,1.65238,1.37284,0.66673,0.21875,0.42005,0.27751,0.86185,2.42049,1.14594,0.000245364,0.000245364,0.000245364
23,305.966,0.84837,1.58124,1.29293,0.69966,0.14665,0.40607,0.26107,0.929,2.39002,1.17969,0.000248336,0.000248336,0.000248336
24,317.201,0.88733,1.44623,1.2637,0.69966,0.14665,0.40607,0.26107,0.929,2.39002,1.17969,0.000250516,0.000250516,0.000250516
25,328.034,1.00946,1.55795,1.36476,0.67122,0.1875,0.41908,0.25804,0.96357,2.36528,1.20064,0.000251904,0.000251904,0.000251904
26,339.172,0.87108,1.42436,1.22173,0.67122,0.1875,0.41908,0.25804,0.96357,2.36528,1.20064,0.0002525,0.0002525,0.0002525
27,350.158,0.88079,1.39769,1.19144,0.44567,0.25131,0.36943,0.22911,0.96846,2.34651,1.2191,0.000252304,0.000252304,0.000252304
28,367.83,0.69092,1.22218,1.10075,0.44567,0.25131,0.36943,0.22911,0.96846,2.34651,1.2191,0.000251316,0.000251316,0.000251316
29,381.083,0.84165,1.50745,1.28368,0.43681,0.28125,0.38646,0.24878,0.98122,2.31268,1.23888,0.000249536,0.000249536,0.000249536
30,391.679,0.8027,1.23292,1.15352,0.43681,0.28125,0.38646,0.24878,0.98122,2.31268,1.23888,0.000246964,0.000246964,0.000246964
31,402.543,0.73161,1.14584,1.10118,0.45694,0.375,0.3894,0.26034,0.99706,2.28797,1.24325,0.0002436,0.0002436,0.0002436
32,413.156,0.69563,1.1142,1.12554,0.45694,0.375,0.3894,0.26034,0.99706,2.28797,1.24325,0.000239444,0.000239444,0.000239444
33,424.961,0.68573,1.11029,1.11902,0.55864,0.46875,0.44431,0.29622,0.90276,2.20548,1.15329,0.000234496,0.000234496,0.000234496
34,435.813,0.75757,1.20606,1.17342,0.55864,0.46875,0.44431,0.29622,0.90276,2.20548,1.15329,0.000228756,0.000228756,0.000228756
