epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.04669,1.8374,3.58173,2.06323,0.36272,0.3405,0.2381,0.08938,1.62588,7.92018,1.97981,0.00012861,0.00012861,0.00012861
2,4.68892,1.55583,2.43668,1.84073,0.43158,0.35728,0.37618,0.19212,1.66389,16.8539,2.08373,0.000268822,0.000268822,0.000268822
3,6.24764,1.51778,2.13895,1.76281,0.34505,0.39798,0.36942,0.14318,1.92375,7.209,2.51234,0.000406205,0.000406205,0.000406205
4,7.78061,1.47935,2.05689,1.75968,0.21115,0.41214,0.21723,0.08213,2.28799,10.1178,3.24043,0.000540758,0.000540758,0.000540758
5,9.31578,1.57343,1.9394,1.76367,0.37136,0.12089,0.13833,0.05898,2.28365,25.6307,4.31968,0.000672482,0.000672482,0.000672482
6,10.8379,1.54941,1.8439,1.82577,0.14853,0.33944,0.12164,0.05081,2.24752,51.7355,3.93619,0.000801376,0.000801376,0.000801376
7,12.3466,1.58882,1.88135,1.81465,0.01644,0.07564,0.01396,0.00469,2.5447,inf,4.49251,0.000927441,0.000927441,0.000927441
8,13.8317,1.62167,1.89764,1.90432,0.02141,0.3,0.01938,0.00675,2.40542,88.2666,3.98186,0.00105068,0.00105068,0.00105068
9,15.3429,1.57429,1.89724,1.78455,0.08304,0.48141,0.05546,0.02278,2.77176,inf,5.02807,0.00117108,0.00117108,0.00117108
10,16.8264,1.63524,1.85213,1.82575,0.37622,0.37206,0.04094,0.015,2.42301,inf,4.31067,0.00128866,0.00128866,0.00128866
11,18.3114,1.58694,1.8326,1.81892,0.45482,0.08235,0.05788,0.01711,2.75238,30.8178,5.21057,0.00128753,0.00128753,0.00128753
12,19.7986,1.47644,1.69586,1.70778,0.02563,0.13733,0.019,0.00792,3.0341,36.9299,4.31512,0.00127338,0.00127338,0.00127338
13,21.3021,1.5789,1.72938,1.77819,0.00955,0.24842,0.00468,0.00132,2.97611,inf,5.56558,0.00125923,0.00125923,0.00125923
14,22.7877,1.5051,1.59,1.73506,0.28898,0.39732,0.26745,0.09979,2.14926,7.26363,3.64569,0.00124509,0.00124509,0.00124509
15,24.2641,1.46587,1.559,1.7266,0.47194,0.45089,0.37183,0.13869,2.24483,5.27318,3.36998,0.00123094,0.00123094,0.00123094
16,25.7554,1.50777,1.53815,1.73675,0.22785,0.17523,0.10557,0.03642,2.71044,17.0219,4.14648,0.00121679,0.00121679,0.00121679
17,27.2335,1.4763,1.59662,1.72199,0.14255,0.14755,0.03963,0.01827,2.94124,67.4097,4.40415,0.00120265,0.00120265,0.00120265
18,28.7136,1.4632,1.56158,1.75587,0.32156,0.18567,0.13775,0.05593,2.51517,4.58287,3.53165,0.0011885,0.0011885,0.0011885
19,30.1883,1.3956,1.46587,1.65171,0.28552,0.29457,0.19048,0.07596,2.49488,4.4543,3.52203,0.00117435,0.00117435,0.00117435
20,31.6688,1.45538,1.47539,1.69784,0.38138,0.31826,0.29478,0.11333,2.38815,3.42972,3.09239,0.00116021,0.00116021,0.00116021
21,33.1412,1.39758,1.41332,1.66378,0.22151,0.40434,0.21323,0.09555,2.12855,4.07985,2.78399,0.00114606,0.00114606,0.00114606
22,34.6364,1.36798,1.41841,1.6184,0.34085,0.47738,0.30254,0.12631,2.13672,3.6506,2.68986,0.00113191,0.00113191,0.00113191
23,36.1127,1.40488,1.33475,1.68381,0.37463,0.32553,0.28354,0.12299,2.14727,3.18045,2.62354,0.00111776,0.00111776,0.00111776
24,37.6009,1.34629,1.35412,1.6371,0.35541,0.44939,0.32844,0.14665,1.90414,3.7763,2.47808,0.00110362,0.00110362,0.00110362
25,39.0842,1.32097,1.32856,1.61112,0.56097,0.49227,0.52982,0.25332,1.80819,2.89048,2.31086,0.00108947,0.00108947,0.00108947
26,40.6154,1.34653,1.39521,1.65668,0.38008,0.46043,0.37556,0.18507,1.98082,3.19128,2.65922,0.00107532,0.00107532,0.00107532
27,42.0981,1.30333,1.29215,1.59818,0.477,0.51465,0.48508,0.19636,1.9829,2.57671,2.55321,0.00106118,0.00106118,0.00106118
28,43.5864,1.36741,1.3296,1.62131,0.45379,0.39242,0.32912,0.14461,2.01902,5.06954,2.56035,0.00104703,0.00104703,0.00104703
29,45.0618,1.21339,1.18213,1.48729,0.67429,0.44197,0.55085,0.2656,1.92209,2.91286,2.48317,0.00103288,0.00103288,0.00103288
30,46.5996,1.28559,1.20377,1.54162,0.52799,0.54445,0.56751,0.25761,1.93405,2.11113,2.51671,0.00101873,0.00101873,0.00101873
31,48.0811,1.27148,1.18529,1.55242,0.56251,0.5048,0.57412,0.24851,2.00613,1.9008,2.51632,0.00100459,0.00100459,0.00100459
32,49.5645,1.254,1.22245,1.55105,0.57721,0.5759,0.57455,0.28115,1.78373,1.81126,2.18433,0.00099044,0.00099044,0.00099044
33,51.1,1.21071,1.20047,1.51954,0.48017,0.61617,0.47714,0.21972,1.90919,2.24867,2.45391,0.000976293,0.000976293,0.000976293
34,52.5742,1.19365,1.15778,1.48892,0.62722,0.55107,0.5985,0.2881,1.9114,1.70958,2.32837,0.000962146,0.000962146,0.000962146
35,54.1048,1.16793,1.1157,1.46551,0.58272,0.55639,0.52834,0.23827,1.88919,1.87984,2.35767,0.000947999,0.000947999,0.000947999
36,55.5828,1.17566,1.10726,1.46328,0.58439,0.58939,0.57764,0.2773,1.932,1.79907,2.41213,0.000933851,0.000933851,0.000933851
37,57.06,1.12327,1.03982,1.44982,0.60391,0.60074,0.57211,0.29251,1.92799,1.76166,2.42251,0.000919704,0.000919704,0.000919704
