epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8984,2.19092,3.02672,2.27321,0.32082,0.19639,0.1883,0.08026,2.19084,4.87614,2.4106,0.00027151,0.00027151,0.00027151
2,52.9578,1.77852,2.43732,1.97779,0.40919,0.41388,0.40464,0.14854,2.01602,5.3807,2.25407,0.000551793,0.000551793,0.000551793
3,78.6949,1.71326,2.36442,1.94466,0.53347,0.33096,0.39392,0.13868,2.17184,5.30585,2.28602,0.000826416,0.000826416,0.000826416
4,104.375,1.80333,2.24049,1.95303,0.49629,0.11795,0.12158,0.04853,2.6725,4.78333,2.85518,0.00109538,0.00109538,0.00109538
5,130.369,1.83587,2.29434,2.02844,0.14479,0.53767,0.24486,0.08495,2.41084,21.2581,2.98658,0.00135869,0.00135869,0.00135869
6,156.13,1.84163,2.40162,2.01013,0.23338,0.43859,0.19611,0.06614,2.36331,17.4794,2.62164,0.00135826,0.00135826,0.00135826
7,181.7,1.80102,2.0901,1.89629,0.32712,0.34467,0.21868,0.09063,2.3561,3.18401,2.59134,0.00134412,0.00134412,0.00134412
8,207.559,1.73927,2.06318,1.8789,0.46741,0.42133,0.34476,0.13619,2.28808,3.78739,2.67322,0.00132997,0.00132997,0.00132997
9,233.08,1.74952,1.9464,1.9071,0.41564,0.37679,0.33243,0.10248,2.43573,2.39871,2.60765,0.00131582,0.00131582,0.00131582
10,258.718,1.72986,1.79923,1.87985,0.40822,0.39634,0.322,0.12751,2.30211,3.22821,2.46199,0.00130168,0.00130168,0.00130168
11,284.374,1.76367,1.78628,1.89341,0.38325,0.22428,0.23001,0.06659,2.47331,3.12792,2.626,0.00128753,0.00128753,0.00128753
12,310.071,1.70373,1.80642,1.85689,0.45907,0.34416,0.31582,0.10358,2.36617,3.08138,2.5297,0.00127338,0.00127338,0.00127338
13,335.564,1.66027,1.7838,1.80624,0.29875,0.47508,0.298,0.12481,2.16067,4.91991,2.30284,0.00125923,0.00125923,0.00125923
